Lead_ID,F2,F3,F4,F5,F7,F8,F9,F10,F11,F12,F13,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F117,Label
197058927,,2024-09-22 8:35,,2,25517,2,1,10,0,0,0,0,,,1,1,,,,90,62,0.52,0,,58.82096664,59.83003815,0,90,4,0.52,0,0,,58.82096664,59.83003815,3,90,4,0.52,0,0,,58.82096664,59.83003815,3,90,4,0.52,0,0,,3,0,0,,,,,,,,,,,6,9,9,2,11,9,,,,,3,4,7,3,4,7,2,11,9,,,,,2,11,9,3,4,7,3,4,7,3,4,7,3,4,7,,,,,,,,,9925,,0,0
197059109,,2024-09-22 8:39,,2,25517,2,1,11,0,0,0,0,,,1,1,,,,120,62,0.52,0,30,54.40950631,55.89990817,0,120,4,0.52,0,0,30,54.40950631,55.89990817,2,120,4,0.52,0,0,30,54.40950631,55.89990817,2,120,4,0.52,0,0,30,2,0,0,,,,,,,,,,,6,9,9,0,13,9,,,,,1,9,3,1,9,3,0,13,9,,,,,0,13,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,14683,,0,0
197059317,,2024-09-22 8:42,,7,25516,2,3,12,0,0,0,0,,,3,3,,,,420,348,2.08,0,31.33333333,55.07310452,53.7515975,0,120,7,0.52,0,0,22,57.21816371,55.36723164,1,90,7,0.52,0,0,36,54.00057493,52.94378043,2,120,7,0.52,0,0,22,1,0,0,8.795555556,,,,,,,,,,6,9,9,2,11,9,,,,,1,13,3,1,13,3,3,5,9,,,,,3,5,9,3,2,5,3,2,5,3,2,5,3,2,5,,,,,,,,,9386,,0,0
197059375,,2024-09-22 8:45,,8,25511,2,1,13,0,0,0,0,,,1,1,,,1,90,75,0.52,0,,58.81331861,62.97772771,0,90,3,0.52,0,0,,58.81331861,62.97772771,2,90,3,0.52,0,0,,58.81331861,62.97772771,2,90,3,0.52,0,0,,2,0,0,,,,,,,,,,,6,9,9,2,11,9,,,,,5,14,7,5,14,7,2,11,9,,,,,2,11,9,5,14,7,5,14,7,5,14,7,5,14,7,,,,,,,,,9304,,0,0
197059378,,2024-09-22 8:44,,6,25511,2,1,14,0,0,0,0,,,1,1,,,1,90,24,0.26,0,,58.81331861,62.97772771,0,90,3,0.26,0,0,,58.81331861,62.97772771,2,90,3,0.26,0,0,,58.81331861,62.97772771,2,90,3,0.26,0,0,,2,0,0,,,,,,,,,,,6,9,9,0,13,9,,,,,5,14,7,5,14,7,0,13,9,,,,,0,13,9,5,14,7,5,14,7,5,14,7,5,14,7,,,,,,,,,13921,,0,0
197059403,,2024-09-21 23:30,,2,25512,1,3,15,0,0,0,0,,,,,3,,,0,0,0,0,36,61.02030758,66.764447,0,0,1,0,0,0,36,69.30823915,70.6946157,2,0,1,0,0,0,36,69.30823915,70.6946157,2,,,,,,,,1,0.3333333333,12.47305556,,,,,,,,,,6,9,9,0,13,9,,,,,0,9,11,0,9,11,1,14,9,,,,,,,,0,9,11,0,9,11,,,,,,,,,,,,,,,13712,,0,0
197059432,,2024-09-21 23:55,,6,25512,2,3,16,0,0,0,0,,,1,1,2,,,90,25,0.26,0,30,52.90026977,37.26660545,0,0,1,0,0,0,,49.88179669,0,2,90,7,0.26,0,0,30,54.40950631,55.89990817,2,90,7,0.26,0,0,30,2,1,0.3333333333,23.42027778,,,,,,,,,,6,9,9,0,12,9,,,,,1,9,3,1,9,3,2,11,9,,,,,0,12,9,2,6,1,2,6,1,1,9,3,1,9,3,,,,,,,,,12997,,0,0
197059434,,2024-09-21 23:52,,9,25512,1,2,17,0,0,0,0,,,,,2,,,0,0,0,0,30,52.1456515,27.94995409,0,0,1,0,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,,49.88179669,0,2,,,,,,,,0,0,3.050555556,,,,,,,,,,6,9,9,0,12,9,,,,,2,6,1,2,6,1,0,15,9,,,,,,,,1,9,3,1,9,3,,,,,,,,,,,,,,,10430,,0,0
197059435,,2024-09-21 23:54,,10,25517,1,2,18,0,0,0,0,,,2,2,,,1,420,272,1.56,0,30,54.40950631,55.89990817,0,210,3,0.78,0,0,30,54.40950631,55.89990817,2,210,7,0.78,0,0,30,54.40950631,55.89990817,2,210,3,0.78,0,0,30,2,0,0,14.71333333,,,,,,,,,,6,9,9,0,13,9,,,,,1,9,3,1,9,3,1,3,9,,,,,1,3,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,13286,,0,0
197059438,,2024-09-21 23:57,,6,25512,1,3,19,0,0,0,0,,,,,3,,,0,33,0.26,0,29.33333333,56.85059771,56.99541524,0,0,1,0.26,0,0,30,59.33305449,62.67523364,2,0,1,0,0,0,36,54.00057493,52.94378043,2,,,,,,,,0,0,3.306944444,,,,,,,,,,6,9,9,2,7,9,,,,,1,13,3,1,13,3,2,14,9,,,,,,,,5,10,6,5,10,6,,,,,,,,,,,,,,,80378,,0,0
197059440,,2024-09-21 22:03,,7,25511,2,3,20,0,0,0,0,,,3,3,,,1,330,219,1.56,0,,49.88179669,0,0,90,3,0.52,0,0,,49.88179669,0,2,120,7,0.52,0,0,,49.88179669,0,2,90,3,0.52,0,0,,2,7,2.333333333,20.15888889,,,,,,,,,,6,9,9,0,12,9,,,,,2,6,1,2,6,1,1,5,10,,,,,1,5,10,2,6,1,2,6,1,2,6,1,2,6,1,,,,,,,,,12476,,0,0
197059441,,2024-09-21 22:04,,2,25517,2,3,21,0,0,0,0,,,1,1,2,,,150,78,0.52,0,30,49.36434003,35.50743827,0,150,4,0.52,0,0,,49.88179669,0,2,0,1,0,0,0,30,54.40950631,55.89990817,2,150,4,0.52,0,0,,2,1,0.3333333333,23.63555556,,,,,,,,,,6,9,9,0,12,9,,,,,1,9,3,1,9,3,2,12,9,,,,,2,12,9,2,6,1,2,6,1,2,6,1,2,6,1,,,,,,,,,12538,,0,0
197059442,,2024-09-21 23:56,,2,25512,1,3,22,0,0,0,0,,,1,1,2,,,1290,1247,5.72,0,36,58.44970412,56.22235029,0,0,1,0,0,0,,60.67426872,57.86163522,1,0,1,0,0,0,36,54.00057493,52.94378043,2,1290,7,5.72,0,0,,1,1,0.3333333333,12.10611111,,,,,,,,,,6,9,9,2,11,9,,,,,1,13,3,1,13,3,3,12,9,,,,,2,14,9,1,18,1,1,18,1,1,18,1,1,18,1,,,,,,,,,9000,,0,0
197059495,,2024-09-21 21:51,,2,25516,1,3,23,0,0,0,0,,,2,2,1,,,330,232,1.3,0,,47.8551035,16.87413555,0,240,7,1.04,0,0,,49.88179669,0,2,0,1,0,0,0,,43.80171711,50.62240664,2,240,7,1.04,0,0,,2,2,0.6666666667,0.0725,,,,,,,,,,6,9,9,0,12,9,,,,,0,6,4,0,6,4,2,12,9,,,,,2,12,9,2,6,1,2,6,1,2,6,1,2,6,1,,,,,,,,,10482,,0,0
197059498,,2024-09-21 23:48,,11,25517,1,2,24,0,0,0,0,,,1,1,1,,,210,155,1.3,0,,61.45596829,65.44865656,0,210,4,1.04,0,0,,65.63649448,69.29895246,2,0,1,0.26,0,0,,57.27544209,61.59836066,2,210,4,1.04,0,0,,2,0,0,22,,,,,,,,,,6,9,9,0,13,9,,,,,3,9,12,3,9,12,1,11,9,,,,,1,11,9,2,17,12,2,17,12,2,17,12,2,17,12,,,,,,,,,13400,,0,0
197059500,,2024-09-22 8:51,,2,25517,2,6,25,0,0,0,0,,,1,,5,,,240,121,0.78,0,25,57.23614598,63.16872326,0,240,4,0.78,0,0,25,62.07475308,69.12013536,2,0,1,0,0,0,25,62.07475308,69.12013536,2,240,4,0.78,0,0,25,2,4,0.6666666667,23.51166667,,,,,,,,,,6,9,9,0,12,9,,,,,0,12,3,0,12,3,5,10,9,,,,,5,10,9,0,12,3,0,12,3,0,12,3,0,12,3,,,,,,,,,12403,,0,0
197059509,,2024-09-21 21:50,,2,25517,2,3,26,0,0,0,0,,,2,2,1,,,180,105,0.78,0,,61.08771056,65.08480262,0,120,4,0.52,0,0,,65.63649448,69.29895246,2,60,7,0.26,0,0,,58.81331861,62.97772771,2,120,4,0.52,0,0,,2,0,0,10.92388889,,,,,,,,,,6,9,9,0,13,9,,,,,5,14,7,5,14,7,1,10,9,,,,,1,10,9,2,17,12,2,17,12,2,17,12,2,17,12,,,,,,,,,13443,,0,0
197059510,,2024-09-21 23:49,,8,25516,2,7,27,0,0,0,0,,,1,,6,,1,390,349,1.56,0,30,50.95366087,31.18887588,0,390,3,1.56,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,30,54.40950631,55.89990817,2,390,3,1.56,0,0,30,2,13,1.857142857,4.38,,,,,,,,,,6,9,9,0,12,9,,,,,1,9,3,1,9,3,6,15,10,,,,,6,15,10,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,12007,,0,0
197059514,,2024-09-21 23:33,,12,25517,1,1,28,0,0,0,0,,,1,1,,,,120,73,0.52,0,,58.81331861,62.97772771,0,120,4,0.52,0,0,,58.81331861,62.97772771,2,120,4,0.52,0,0,,58.81331861,62.97772771,2,120,4,0.52,0,0,,2,0,0,,,,,,,,,,,6,9,9,2,11,9,,,,,5,14,7,5,14,7,2,11,9,,,,,2,11,9,5,14,7,5,14,7,5,14,7,5,14,7,,,,,,,,,8969,,0,0
197059526,,2024-09-21 22:47,,10,1655,1,2,29,0,0,0,0,,,1,1,1,,,180,155,0.78,0,,58.04438035,62.28804418,0,180,4,0.78,0,0,,57.27544209,61.59836066,2,0,1,0,0,0,,58.81331861,62.97772771,2,180,4,0.78,0,0,,2,0,0,22.06944444,,,,,,,,,,6,9,9,0,12,9,,,,,5,14,7,5,14,7,1,10,9,,,,,1,10,9,3,9,12,3,9,12,3,9,12,3,9,12,,,,,,,,,11999,,0,0
197059573,1986-05-07 0:00:00,2024-09-21 22:53,1,13,981,3,1,30,0,0,0,0,,,1,,,1,,510,472,2.34,0,,65.63649448,69.29895246,0,510,2,2.34,0,0,,65.63649448,69.29895246,2,510,2,2.34,0,0,,65.63649448,69.29895246,2,510,2,2.34,0,0,,2,0,0,,,,,,,,,,,6,9,9,6,4,9,,,,,2,17,12,2,17,12,6,4,9,,,,,6,4,9,2,17,12,2,17,12,2,17,12,2,17,12,,,,,,,,,69024,,0,1
197059575,,2024-09-21 23:08,,14,25517,1,3,31,0,0,0,0,,,1,,2,,,120,30,0.26,0,30,50.87357657,54.14074099,0,120,4,0.26,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,,43.80171711,50.62240664,2,120,4,0.26,0,0,30,2,5,1.666666667,20.10722222,,,,,,,,,,6,9,9,0,12,9,,,,,0,6,4,0,6,4,6,4,9,,,,,6,4,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,9869,,0,0
197059576,,2024-09-21 21:39,,2,25517,1,2,32,0,0,0,0,,,2,2,,,1,420,298,1.56,0,30,54.40950631,55.89990817,0,120,4,0.26,0,0,30,54.40950631,55.89990817,2,300,3,1.3,0,0,30,54.40950631,55.89990817,2,120,4,0.26,0,0,30,2,2,1,17.81916667,,,,,,,,,,6,9,9,0,12,9,,,,,1,9,3,1,9,3,3,6,9,,,,,3,6,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,10898,,0,0
197059648,,2024-09-21 23:23,,15,25516,2,2,33,0,0,0,0,,,1,1,1,,,150,73,0.52,0,30,54.40950631,55.89990817,0,150,7,0.52,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,30,54.40950631,55.89990817,2,150,7,0.52,0,0,30,2,0,0,3.107222222,,,,,,,,,,6,9,9,0,12,9,,,,,1,9,3,1,9,3,0,15,9,,,,,0,15,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,9521,,0,0
197059659,,2024-09-21 22:46,,5,25517,1,2,34,0,0,0,0,,,2,1,,,,300,151,1.04,0,30,54.40950631,55.89990817,0,150,4,0.52,0,0,30,54.40950631,55.89990817,2,150,4,0.52,0,0,30,54.40950631,55.89990817,2,150,4,0.52,0,0,30,2,5,2.5,15.85083333,,,,,,,,,,6,9,9,0,12,9,,,,,1,9,3,1,9,3,6,3,9,,,,,6,3,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,9664,,0,0
197060391,,2024-09-21 21:46,,2,25512,1,5,35,0,0,0,0,,,3,3,2,,,330,270,1.3,0,32.4,57.20006267,58.78265236,0,0,1,0,0,0,30,59.33305449,62.67523364,2,150,7,0.52,0,0,36,54.00057493,52.94378043,2,120,7,0.52,0,0,30,2,1,0.2,7.196388889,,,,,,,,,,6,9,9,1,9,9,,,,,1,13,3,1,13,3,2,14,9,,,,,2,5,9,5,10,6,5,10,6,5,10,6,5,10,6,,,,,,,,,1323,,0,0
197060404,1970-04-01 0:00:00,2024-09-21 22:43,1,2,981,3,3,36,0,0,0,0,,,1,,2,,,300,267,1.56,0,,58.81331861,62.97772771,0,0,1,0,0,0,,58.81331861,62.97772771,2,300,7,1.3,0,0,,58.81331861,62.97772771,2,300,7,1.3,0,0,,2,0,0,2.625,,,,,,,,,,6,9,9,6,9,9,,,,,5,14,7,5,14,7,6,14,9,,,,,6,9,9,5,14,7,5,14,7,5,14,7,5,14,7,,,,,,,,,85177,,0,1
197060436,,2024-09-21 22:13,,16,25517,1,3,37,0,0,0,0,,,1,1,2,,,120,16,0.26,0,30,50.87357657,54.14074099,0,120,4,0.26,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,,43.80171711,50.62240664,2,120,4,0.26,0,0,30,2,0,0,8.664444444,,,,,,,,,,6,9,9,0,12,9,,,,,0,6,4,0,6,4,1,5,9,,,,,1,5,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,9637,,0,0
197060441,,2024-09-21 22:30,,17,25516,1,2,38,0,0,0,0,,,1,1,1,,1,240,174,1.04,0,34,61.47100839,59.58042792,0,240,3,1.04,0,0,34,60.14749623,62.9517055,2,0,1,0,0,0,,62.79452055,56.20915033,2,240,3,1.04,0,0,34,2,0,0,22.01583333,,,,,,,,,,6,9,9,0,12,9,,,,,4,7,4,4,7,4,1,10,9,,,,,1,10,9,3,5,11,3,5,11,3,5,11,3,5,11,,,,,,,,,11896,,0,0
197060587,,2024-09-21 22:48,,2,25516,2,3,39,0,0,0,0,,,2,2,1,,1,510,434,2.34,0,30,50.87357657,54.14074099,0,150,3,0.78,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,,43.80171711,50.62240664,2,150,3,0.78,0,0,30,2,0,0,0.8308333333,,,,,,,,,,6,9,9,0,11,9,,,,,0,6,4,0,6,4,0,13,9,,,,,0,13,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,8467,,0,0
197060674,,2024-09-21 22:16,,18,25516,2,1,40,0,0,0,0,,,1,1,,,1,600,529,2.34,0,30,54.40950631,55.89990817,0,600,3,2.34,0,0,30,54.40950631,55.89990817,2,600,3,2.34,0,0,30,54.40950631,55.89990817,2,600,3,2.34,0,0,30,2,0,0,,,,,,,,,,,6,9,9,0,11,9,,,,,1,9,3,1,9,3,0,11,9,,,,,0,11,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,8278,,0,0
197060717,1995-06-01 0:00:00,2024-09-21 22:02,1,2,981,3,6,41,0,0,0,0,,,3,1,3,1,,1020,885,4.68,0,30,48.60972176,26.19078691,0,600,2,2.6,0,0,,49.88179669,0,2,180,4,0.78,0,0,30,54.40950631,55.89990817,2,600,2,2.6,0,0,,2,10,1.666666667,3.5125,,,,,,,,,,6,9,9,6,15,9,,,,,1,9,3,1,9,3,3,8,10,,,,,3,8,10,2,6,1,2,6,1,2,6,1,2,6,1,,,,,,,,,20959,,0,1
197060750,,2024-09-21 22:24,,16,25511,1,2,42,0,0,0,0,,,1,1,1,,1,90,48,0.26,0,30,49.10561171,53.26115741,0,90,3,0.26,0,0,,43.80171711,50.62240664,2,0,1,0,0,0,30,54.40950631,55.89990817,2,90,3,0.26,0,0,,2,0,0,19.89305556,,,,,,,,,,6,9,9,6,15,9,,,,,1,9,3,1,9,3,0,11,9,,,,,0,11,9,0,6,4,0,6,4,0,6,4,0,6,4,,,,,,,,,20883,,0,0
197060753,,2024-09-21 22:27,,2,25517,1,1,43,0,0,0,0,,,1,1,,,,420,354,1.56,0,,58.81331861,62.97772771,0,420,4,1.56,0,0,,58.81331861,62.97772771,2,420,4,1.56,0,0,,58.81331861,62.97772771,2,420,4,1.56,0,0,,2,0,0,,,,,,,,,,,6,9,9,0,12,9,,,,,5,14,7,5,14,7,0,12,9,,,,,0,12,9,5,14,7,5,14,7,5,14,7,5,14,7,,,,,,,,,11157,,0,0
197061256,2005-07-27 0:00:00,2024-09-21 22:09,1,6,981,3,1,44,0,0,0,0,,,,,1,,,0,9,0.26,0,34,60.14749623,62.9517055,0,0,1,0.26,0,0,34,60.14749623,62.9517055,2,0,1,0.26,0,0,34,60.14749623,62.9517055,2,,,,,,,,0,0,,,,,,,,,,,6,9,9,6,4,9,,,,,3,5,11,3,5,11,6,4,9,,,,,,,,3,5,11,3,5,11,,,,,,,,,,,,,,,68728,,0,1
197061263,,2024-09-21 22:23,,6,25516,2,1,45,0,0,0,0,,,1,,,,1,120,100,0.52,0,,49.88179669,0,0,120,3,0.52,0,0,,49.88179669,0,2,120,3,0.52,0,0,,49.88179669,0,2,120,3,0.52,0,0,,2,0,0,,,,,,,,,,,6,9,9,6,15,9,,,,,2,6,1,2,6,1,6,15,9,,,,,6,15,9,2,6,1,2,6,1,2,6,1,2,6,1,,,,,,,,,20763,,0,0
197061284,,2024-09-21 22:47,,19,25517,2,3,46,0,0,0,0,,,2,1,1,,,180,96,1.04,0,30,55.88674419,59.84165875,0,120,4,0.78,0,0,30,59.33305449,62.67523364,2,0,1,0,0,0,,51.051736,55.25138194,2,120,4,0.78,0,0,30,2,3,1,21.96666667,,,,,,,,,,6,9,9,2,10,9,,,,,4,11,9,4,11,9,6,6,9,,,,,6,6,9,5,10,6,5,10,6,5,10,6,5,10,6,,,,,,,,,3084,,0,0
197061371,,2024-09-21 22:47,,2,25517,2,3,47,0,0,0,0,,,2,2,1,,,270,133,1.04,0,36,64.72712495,66.1760409,0,150,4,0.52,0,0,,65.63649448,69.29895246,2,0,1,0,0,0,36,69.30823915,70.6946157,2,150,4,0.52,0,0,,2,1,0.3333333333,19.70777778,,,,,,,,,,6,9,9,0,12,9,,,,,0,9,11,0,9,11,2,4,9,,,,,2,4,9,2,17,12,2,17,12,2,17,12,2,17,12,,,,,,,,,11412,,0,0
197061432,,2024-09-21 22:04,,2,25511,2,4,48,0,0,0,0,,,2,2,2,,1,240,162,1.04,0,,44.55248536,45.27363184,0,60,3,0.26,0,0,,44.55248536,45.27363184,1,180,7,0.78,0,0,,44.55248536,45.27363184,1,60,3,0.26,0,0,,1,1,0.25,15.72694444,,,,,,,,,,6,9,9,2,11,9,,,,,3,9,1,3,9,1,4,10,9,,,,,4,10,9,3,9,1,3,9,1,3,9,1,3,9,1,,,,,,,,,7611,,0,0
197061535,,2024-09-21 22:07,,15,25512,1,3,49,0,0,0,0,,,,,3,,,0,0,0,0,27.5,57.49054579,60.95306627,0,0,1,0,0,0,,51.06382979,51.06382979,3,0,1,0,0,0,30,59.33305449,62.67523364,2,,,,,,,,0,0,9.258888889,,,,,,,,,,6,9,9,2,10,9,,,,,5,10,6,5,10,6,3,4,9,,,,,,,,0,6,8,0,6,8,,,,,,,,,,,,,,,3393,,0,0
197061739,,2024-09-22 8:55,,2,25517,1,3,50,0,0,0,0,,,2,2,1,,,270,135,1.04,0,36,56.11118508,56.6606978,0,120,4,0.52,0,0,,45.02474115,46.34369728,1,0,1,0,0,0,36,54.00057493,52.94378043,2,120,4,0.52,0,0,,1,8,2.666666667,8.849166667,,,,,,,,,,6,9,9,2,11,9,,,,,1,13,3,1,13,3,4,5,10,,,,,4,5,10,6,8,4,6,8,4,6,8,4,6,8,4,,,,,,,,,8073,,0,0
197071650,,2024-09-22 9:04,,2,25516,1,2,51,0,0,0,0,,,1,,1,,,120,63,0.52,0,30,52.1456515,27.94995409,0,120,4,0.52,0,0,30,54.40950631,55.89990817,2,0,1,0,0,0,,49.88179669,0,2,120,4,0.52,0,0,30,2,0,0,0.06194444444,,,,,,,,,,6,9,9,6,14,9,,,,,2,6,1,2,6,1,6,14,9,,,,,6,14,9,1,9,3,1,9,3,1,9,3,1,9,3,,,,,,,,,17872,,0,0
197071689,,2024-09-21 0:03,,2,25512,1,4,52,0,0,0,0,,,1,,3,,,60,38,0.26,0,,48.36177679,12.65560166,0,0,1,0,0,0,,43.80171711,50.62240664,2,0,1,0,0,0,,49.88179669,0,2,60,7,0.26,0,0,,2,3,0.75,0.6175,,,,,,,,,,6,9,9,6,9,9,,,,,2,6,1,2,6,1,2,11,9,,,,,6,14,9,0,6,4,0,6,4,2,6,1,2,6,1,,,,,,,,,68,,0,0
197071695,,2024-09-21 0:17,,2,25512,2,3,53,0,0,0,0,,,,,3,,,0,0,0,0,30,49.36434003,35.50743827,0,0,1,0,0,0,,43.80171711,50.62240664,2,0,1,0,0,0,,49.88179669,0,2,,,,,,,,1,0.3333333333,13.04527778,,,,,,,,,,6,9,9,6,9,9,,,,,2,6,1,2,6,1,0,11,9,,,,,,,,0,6,4,0,6,4,,,,,,,,,,,,,,,84394,,0,0
197071704,,2024-09-21 0:29,,2,25516,2,3,54,0,0,0,0,,,2,1,1,,,240,163,1.04,0,,49.88179669,0,0,120,7,0.52,0,0,,49.88179669,0,2,120,7,0.52,0,0,,49.88179669,0,2,120,7,0.52,0,0,,2,1,0.3333333333,13.05833333,,,,,,,,,,6,9,9,6,8,9,,,,,2,6,1,2,6,1,0,11,9,,,,,0,11,9,2,6,1,2,6,1,2,6,1,2,6,1,,,,,,,,,83482,,0,0
